hotel,isCanceled,leadTime,arrivalMonth,arrivalDay,marketSegment,bookingChanges,customerType
Resort Hotel,0,23,1,14,Direct,0,Transient
Resort Hotel,1,44,5,6,Online TA,0,Transient
Resort Hotel,1,54,5,13,Online TA,0,Transient
Resort Hotel,1,46,5,22,Online TA,0,Transient
Resort Hotel,1,18,5,27,Online TA,0,Transient
Resort Hotel,1,18,5,27,Online TA,0,Transient
Resort Hotel,1,34,6,2,Direct,0,Transient
Resort Hotel,1,3,6,22,Online TA,0,Transient
Resort Hotel,1,24,7,7,Online TA,0,Transient
Resort Hotel,1,22,7,9,Direct,0,Transient
Resort Hotel,1,114,7,21,Online TA,1,Transient
Resort Hotel,1,114,7,21,Online TA,1,Transient
Resort Hotel,1,114,7,21,Online TA,1,Transient
Resort Hotel,1,114,7,21,Online TA,1,Transient
Resort Hotel,1,114,7,21,Online TA,1,Transient
Resort Hotel,1,114,7,21,Online TA,1,Transient
Resort Hotel,1,22,7,29,Direct,2,Transient
Resort Hotel,1,91,8,7,Online TA,0,Transient
Resort Hotel,1,22,8,8,Online TA,0,Transient
Resort Hotel,1,22,8,8,Online TA,0,Transient
Resort Hotel,1,77,8,18,Online TA,1,Transient
Resort Hotel,1,26,8,20,Online TA,0,Transient
Resort Hotel,1,123,8,28,Online TA,0,Transient
Resort Hotel,1,124,8,29,Online TA,1,Transient
Resort Hotel,0,542,9,26,Groups,1,Transient-Party
Resort Hotel,1,36,9,27,Online TA,0,Transient
Resort Hotel,1,69,9,30,Online TA,0,Transient
Resort Hotel,1,139,12,1,Online TA,0,Transient
Resort Hotel,1,135,12,1,Online TA,0,Transient
Resort Hotel,1,75,12,6,Online TA,0,Transient
Resort Hotel,1,76,12,24,Direct,0,Transient
Resort Hotel,0,49,8,29,Direct,1,Transient
Resort Hotel,0,17,1,2,Online TA,1,Transient
Resort Hotel,0,0,1,8,Offline TA/TO,0,Transient
Resort Hotel,0,0,1,4,Direct,5,Transient
Resort Hotel,0,11,1,8,Online TA,0,Transient
Resort Hotel,0,3,1,8,Online TA,0,Transient
Resort Hotel,0,0,1,7,Offline TA/TO,4,Transient
Resort Hotel,0,1,1,22,Direct,0,Transient
Resort Hotel,0,0,2,3,Online TA,2,Transient
Resort Hotel,0,0,2,12,Online TA,0,Transient
Resort Hotel,0,0,2,20,Direct,0,Transient
Resort Hotel,0,24,2,22,Online TA,0,Transient
Resort Hotel,0,24,2,22,Online TA,0,Transient
Resort Hotel,0,4,3,20,Offline TA/TO,0,Transient
Resort Hotel,0,6,3,28,Online TA,1,Transient
Resort Hotel,0,2,4,4,Online TA,0,Transient
Resort Hotel,0,1,4,6,Direct,0,Transient
Resort Hotel,0,19,4,7,Direct,0,Transient
Resort Hotel,0,26,4,9,Direct,3,Transient
Resort Hotel,0,27,4,10,Direct,3,Transient
Resort Hotel,0,8,4,14,Online TA,0,Transient
Resort Hotel,0,79,4,22,Direct,0,Transient
Resort Hotel,0,79,4,22,Direct,0,Transient
Resort Hotel,0,9,4,25,Online TA,0,Transient
Resort Hotel,0,113,4,26,Online TA,1,Transient
Resort Hotel,0,113,4,26,Online TA,0,Transient
Resort Hotel,0,179,4,27,Online TA,0,Transient
Resort Hotel,0,179,4,27,Online TA,0,Transient
Resort Hotel,0,1,4,27,Online TA,0,Transient
Resort Hotel,0,33,4,25,Offline TA/TO,0,Transient
Resort Hotel,0,0,4,30,Online TA,0,Transient
Resort Hotel,0,0,5,1,Online TA,0,Transient
Resort Hotel,0,13,5,1,Online TA,0,Transient
Resort Hotel,0,67,5,6,Online TA,0,Transient
Resort Hotel,0,77,5,10,Online TA,0,Transient
Resort Hotel,0,68,5,20,Online TA,1,Transient
Resort Hotel,0,129,5,22,Online TA,0,Transient
